Plate ID,"R007_PEI Transfection efficiency"
Plate Name,""
Plate Description,""
Scan ID,"22/03/19 2:29:38 AM"
Scan Description,""
Scan Result ID,"22/03/19 3:20:34 AM"
Scan Result Description,""
Software Version,"4.1.3.0"
Experiment Name,"Transfection efficiency Target 1+2"
Application Name,"Target 1 + 2 + Mask"
Plate Type,"96-Well Greiner™ 655090 Plate"
Acquisition Start/End Times,"22/03/19 2:29:38 AM - 22/03/19 2:46:58 AM"
Analysis Start Time,"22/03/19 3:20:34 AM"
User ID,"Local Administrator"

Measurement Plate Maps
Total Count,1,2,3,4,5,6,7,8,9,10,11,12
A,,10,12,45,56,19,33,2038,1858,1934,2,
B,,27,76,53,199,89,237,2296,2981,4330,3,
C,,27,24,35,59,76,80,311,771,660,6,
D,,15,11,43,51,92,305,2307,2614,2411,6,
E,,17786,19180,17073,17260,18963,20703,17536,19719,16476,21578,
F,,23680,23535,27652,22479,24351,17177,20165,19750,23944,22741,
G,,13388,13430,14640,10291,10158,8963,8752,10040,9646,12803,
H,,17374,21766,22390,20820,16636,15151,16069,17423,16872,14557,

AVG Target 1 Mean Intensity,1,2,3,4,5,6,7,8,9,10,11,12
A,,122.145639705658,55.918217420578,29.4081700854831,32.930358210477,65.1460621482448,22.8442830027956,50.4373652953746,32.5053191267167,30.073038582227,35.0625,
B,,61.0519530589764,29.4113240306442,34.0780144187639,76.3276579356074,65.5333598445762,88.7154280149331,46.2276633795411,30.7698226058299,29.5999786976028,36.6575762430827,
C,,92.9525588000262,85.1856941779455,26.9443034853254,21.4541291624813,25.6653611973712,44.4388408781607,79.5172156933815,55.4366853435318,49.8163380095453,96.7594146728516,
D,,42.357776260376,18.4352172721516,54.4720734718234,87.4260541925243,101.850828186325,107.916934100917,61.917376781161,47.9718444280774,34.6481379686722,41.4166800181071,
E,,27.218150821003,26.6928581375684,24.7698876602643,23.0974695698002,22.9011034562324,21.8088239056065,21.3540068865298,21.1412950547773,20.9786663039494,10.8785262939899,
F,,31.124814430651,26.3801323665481,24.1706185170299,23.8003889334642,22.2643756273298,28.6139078898188,21.9671686870411,22.0408080847,19.8875016695037,10.8681836050622,
G,,27.5820039951982,24.4846145531766,23.5671321689325,23.0061293590637,22.5287215630581,22.2932101651113,23.1916082774398,21.0889301299574,21.0947357279136,10.7858942407875,
H,,35.2874247946232,27.2162100412907,25.8409444103238,23.8674881654139,22.74641362277,21.7842984055047,24.7797614358428,22.8786310532362,21.4452819259975,11.3057165244819,

SD of Target 1 Mean Intensity,1,2,3,4,5,6,7,8,9,10,11,12
A,,72.5830380608651,67.6078383827749,44.391952122719,50.6030632089584,68.2902320046304,38.1337811950676,48.7982902966012,31.6407037552919,27.103068177399,4.0625,
B,,70.2522373115486,42.2476315085673,52.54028295258,74.0712040956537,61.1984646889599,61.1119006329471,44.2058925427827,30.7706054404502,28.0183938496371,5.93024790678831,
C,,79.0169732865339,78.2662422019449,46.4608825951704,26.2283619279183,29.4649162403844,49.1646221288276,56.4292225538333,50.187596872655,50.023237125675,72.1763612898805,
D,,69.7356513553779,12.9705891066392,71.2453724407509,78.12455247718,62.3156536377186,55.1975317129747,51.9886131267018,45.3146363427384,35.9510088916707,11.8478481549787,
E,,22.9002028029097,20.27150719052,18.3682089146902,15.7290651162599,15.6112193474017,14.1814049797124,15.6445433030422,15.6040235476335,18.0243759468089,1.43663051885797,
F,,26.6241243142923,16.3033500969243,16.1802689272213,15.6604217642915,13.1281590724752,27.7787143937626,15.8790050803781,17.133686193423,13.2437116005872,1.50420863857514,
G,,25.2480363367298,17.899396275852,15.5243540823747,17.1469294357142,15.2404986246381,17.8097400802844,19.5621112504595,17.0350967254078,16.5321340101926,1.25572164432908,
